Año,Semana,No. Casos,Temperatura,Precipitacion,H. Relativa,No. Busquedas
2010,109,14,22.61428571,1.285714286,71,44
2010,110,22,25.51428571,0,61.42857143,36
2010,111,28,24.11428571,0,66.14285714,30
2010,112,48,24.14285714,0.057142857,66,54
2010,113,44,22.7,3.642857143,76.28571429,71
2010,114,43,24.42857143,2.2,64.83333333,23
2010,115,35,24.62857143,0.657142857,69,59
2010,116,50,23.97142857,1.4,68.71428571,7
2010,117,53,25.08571429,0.6,60.14285714,42
2010,118,47,23.31428571,8.414285714,70.28571429,6
2010,119,39,22.28571429,6.4,77.28571429,48
2010,120,35,22.45714286,6.385714286,73.28571429,47
2010,121,53,24.52857143,0.5,67.85714286,31
2010,122,44,22.91428571,5.057142857,77.14285714,57
2010,123,38,23.07142857,5.514285714,74,63
2010,124,64,24.42857143,3.942857143,72.14285714,100
2010,125,61,23.48571429,7.2,75.57142857,49
2010,126,53,21.28571429,7.214285714,80.28571429,19
2010,127,63,22.52857143,9.728571429,75.28571429,63
2010,128,51,22.62857143,6.1,76.42857143,50
2010,129,48,21.57142857,11.34285714,79.85714286,20
2010,130,48,21.72857143,8.614285714,77.71428571,62
2010,131,44,21.47142857,5.342857143,78,36
2010,132,43,21.14285714,9.242857143,78,38
2010,133,35,20.32857143,12.38571429,82.14285714,88
2010,134,48,22.31428571,9.271428571,73.14285714,48
2010,135,57,21.85714286,6.685714286,78.28571429,37
2010,136,61,22.17142857,3.214285714,77.57142857,24
2010,137,47,22.54285714,1.714285714,76.57142857,13
2010,138,32,21.6,4.371428571,75.85714286,29
2010,139,42,21.88571429,10.35714286,78.42857143,24
2010,140,47,21.27142857,6.671428571,77.85714286,12
2010,141,30,20.95714286,8.242857143,79.28571429,36
2010,142,25,21.65714286,6.557142857,78.28571429,18
2010,143,23,20.24285714,13.95714286,81.28571429,18
2010,144,13,20.75714286,6.628571429,79,6
2010,145,20,21.47142857,14.62857143,77.14285714,6
2010,146,15,22.91428571,0.314285714,69.71428571,13
2010,147,14,20.61428571,3.142857143,78,0
2010,148,8,21.4,3.914285714,75.57142857,7
2010,149,12,21.25714286,20.38571429,78.28571429,23
